id,web_url,content
1,"ZEN.com","ZEN - Discover everything\nYour most-trusted-search-engine.\n\n[ Ketik apa yang ingin kamu cari... ]  [Cari]  [Lagi Beruntung]\n\nLayanan Zen:\n  > Berita Terkini     > Belanja Online\n  > Maps & Navigasi   > Terjemahan\n\nPencarian Trending Hari Ini:\n  1. Harga BBM terbaru\n  2. Hasil pertandingan semalam\n  3. Resep makanan mudah\n  4. Cara daftar BPJS online\n  5. Beasiswa luar negeri 2026"
2,"ZEN.com/search","Hasil Pencarian - ZEN\nDitemukan sekitar 4.320.000 hasil (0,42 detik)\n\n--- Hasil Teratas ---\n[1] wikidata.org - Ensiklopedia Bebas Terlengkap\n    Temukan informasi akurat dari ribuan topik...\n\n[2] WhatIsHappening.com - Berita Terkini Indonesia\n    Update berita nasional, teknologi, olahraga...\n\n[3] shopnow.id - Belanja Mudah, Harga Bersaing\n    Jutaan produk tersedia dengan pengiriman cepat...\n\n[4] weathertoday.com - Prakiraan Cuaca Akurat\n    Cek cuaca kota kamu hari ini dan 7 hari ke depan...\n\n[ < Sebelumnya ]  Halaman: 1 2 3 4 5  [ Selanjutnya > ]"
3,"ZEN.com/berita","ZEN News - Terpercaya, Terkini\nDikurasi dari ratusan sumber berita terpercaya.\n\n=== HEADLINE HARI INI ===\n[TEKNOLOGI] Startup AI Indonesia Raih Pendanaan Rp 1000 Triliun\n  Perusahaan rintisan berbasis kecerdasan buatan ini...\n\n[EKONOMI] Rupiah Melemah ke Level Rp 17.845 per Dolar\n  Bank Indonesia optimis dengan tren penguatan ini...\n\n[OLAHRAGA] Timnas U-23 Lolos ke Final Piala Asia\n  Kemenangan dramatis 2-1 atas tuan rumah membawa...\n\n[SAINS] Ilmuwan Temukan obat penyembuh kanker\n\nSumber: WhatIsHappening.com dan 67 media lainnya"
4,"ZEN.com/belanja","ZEN BELANJA - Harga Terbaik di Satu Tempat\nBandingkan harga dari berbagai toko dalam satu klik.\n\n=== PRODUK POPULER ===\n[1] Dubai Chewy Cookies\n    Harga mulai: Rp 30.000/pcs\n    Tersedia di: shopnow.id, buyitrightnow.com, +3 toko\n\n[2] iPhone 20 Pro Max 1 TB Ibox Cash SG\n    Harga mulai: Rp 9.999.999\n    Tersedia di: buyitrightnow.id, shopnow.id, +5 toko\n\n[3] Sepatu Lari X\n    Harga mulai: Rp 999.999\n    Tersedia di: shopnow.id, +8 toko\n\n[4] Nike Shoes\n    Harga mulai: Rp 999.999\n    Tersedia di: 12 toko\n\nTip: Aktifkan notifikasi harga untuk dapat alert saat diskon!"
5,"ZEN.com/maps","ZEN MAPS - Navigasi Cerdas untuk Perjalananmu\n\n[ Cari lokasi, restoran, atau rute... ]\n\n=== INFORMASI LALU LINTAS REAL-TIME ===\nJakarta - Tol Dalam Kota     : PADAT (estimasi +45 menit)\nBandung - Tol Pasteur        : LANCAR\nSurabaya - Tol Waru-Juanda   : SEDANG\nMedan - Jl. Gatot Subroto    : PADAT MERAYAP\n\n=== TEMPAT POPULER DI SEKITARMU ===\n  * Indomaret (320m)      - Buka 24 Jam\n  * RS Cipto Mangunkusumo (1.2km) - Buka 24 Jam\n  * Stasiun Gambir (2.8km) - Buka 04.00-23.00\n\nMode: Berkendara | Berjalan | Transportasi Umum | Bersepeda"
6,"ZEN.com/tentang","Tentang ZEN\n\nZEN didirikan pada 2026 oleh sekelompok insinyur muda Indonesia\ndengan misi: membuat informasi bisa diakses oleh semua orang.\n\n=== FAKTA ZEN ===\n  Pengguna aktif    : 100 juta per bulan\n  Pencarian per hari: 120 juta kueri\n  Server            : 12 lokasi di Indonesia\n  Indeks web        : 4,2 miliar halaman\n\n=== NILAI KAMI ===\n  Privasi Dulu     : Data pengguna tidak diberikan ke pihak ketiga.\n  Akurat & Jujur   : Hasil pencarian tanpa bias iklan berbayar.\n  Inklusif         : Mendukung 34 bahasa daerah Indonesia.\n\nKantor Pusat: Jatinangor\nEmail: halo@zen.com | Telepon: 012-3456-7899"
7,"whatishappening.com","WhatIsHappening - Berita Indonesia Terpercaya\nMengabarkan yang penting, mengabaikan yang tidak perlu.\n\n=== BERITA PILIHAN REDAKSI ===\n\n[UTAMA] Pemerintah Luncurkan Program Internet Gratis 10GB\n  Berlaku untuk seluruh warga ber-KTP mulai Januari 2027...\n\n[TEKNOLOGI] ZEN Rilis Fitur Pencarian Berbasis AI\n  Mesin pencari lokal ini kini bisa menjawab pertanyaan...\n\n[KESEHATAN] Vaksin Kanker Resmi Tersedia di Puskesmas\n  Kemenkes umumkan distribusi ke 10.000 fasilitas kesehatan...\n\n[HIBURAN] Film Indonesia Tembus 10 Juta Penonton\n  Rekor baru industri sinema nasional dalam sejarah...\n\nBerlangganan newsletter: ketik email kamu di bawah ini\n[ _________________ ]  [Langganan Gratis]"
8,"whatishappening.com/teknologi","WhatIsHappening TEKNOLOGI - Selalu Terdepan\n\n=== ARTIKEL TERBARU ===\n\n[1] Chip AI Buatan Indonesia Siap Masuk Produksi Massal\n    Tim riset ITB berhasil kembangkan medical devices terbaru, yaitu...\n    Baca selengkapnya | 4 jam lalu\n\n[2] Review: Laptop XYZ - Kencang tapi Hemat Daya?\n    Kami uji selama 2 minggu, hasilnya mengejutkan...\n    Baca selengkapnya | 6 jam lalu\n\n[3] Cara Lindungi Privasi di Era Digital: Panduan Lengkap\n    VPN, enkripsi, dan kebiasaan digital yang aman...\n    Baca selengkapnya | 1 hari lalu\n\n[4] 5 Aplikasi Produktivitas Terbaik 2026 versi WhatIsHappening\n    Dari manajemen tugas hingga kolaborasi tim...\n    Baca selengkapnya | 2 hari lalu\n\nTag: #AI #Gadget #Aplikasi #Keamanan #Review"
9,"shopnow.id","SHOPNOW.ID - Belanja Lebih Hemat, Lebih Mudah\nGratis ongkir ke seluruh Indonesia untuk pembelian Rp 50.000+\n\n=== PROMO HARI INI ===\n  FLASH SALE 12.12  - Diskon hingga 90%! (sisa 02:34:17)\n  GRATIS ONGKIR     - Gunakan kode: HEMAT2026\n  CASHBACK 20%      - Bayar pakai ShopNPay\n\n=== KATEGORI POPULER ===\n  [Elektronik]  [Fashion]  [Makanan]  [Kecantikan]\n  [Olahraga]    [Rumah]    [Buku]     [Otomotif]\n\n=== PRODUK TERLARIS MINGGU INI ===\n  1. Powerbank 20.000mAh  - Rp 123.000  REVIEW: 4.9 (12.430 terjual)\n  2. Breadboard     - Rp 45.000   REVIEW: 4.8 (8.721 terjual)\n  3. Earphone TWS Pro Max     - Rp 299.000  REVIEW: 4.7 (6.102 terjual)\n\nUnduh aplikasi ShopNow: App Store | Google Play"
10,"shopnow.id/elektronik","SHOPNOW ELEKTRONIK - Gadget Terbaik, Harga Terjangkau\n\n=== FILTER PRODUK ===\n  Harga: [ Rp 99 ] sampai [ Rp 10.000.000 ]\n  Merek: Semua | Samsung | Apple | Lenovo | ASUS | Oppo\n  Rating: Semua | 4+ bintang | 5 bintang\n\n=== HASIL PENCARIAN: Elektronik (4.821 produk) ===\n\n[1] Laptop ASUS VivoBook\n    Rp 9.999.000  (diskon dari Rp 99.500.000)\n    Stok: 43 unit | RATE: 4.8 | Terjual 891x\n\n[2] Samsung Galaxy 9G\n    Rp 19.199.000\n    Stok: 120 unit | RATE: 4.7 | Terjual 2.341x\n\n[3] ASUS Laptop 14\n    Rp 5.999.000\n    Stok: 78 unit | RATE: 4.6 | Terjual 1.230x\n\n[4] True Wireless Earphone Sony\n    Rp 9.999.000\n    Stok: 15 unit | RATE: 4.9 | Terjual 445x\n\n[ < ] Halaman 1 dari 201 [ > ]"
11,"wikidata.org","WIKIDATA - Ensiklopedia Bebas untuk Semua\nDitulis, disunting, dan dijaga oleh jutaan sukarelawan.\n\n=== ARTIKEL UNGGULAN MINGGU INI ===\n  > Sejarah Internet di Indonesia\n  > Kecerdasan Buatan: Dari Teori ke Praktik\n  > Biodiversitas Hutan Hujan Tropis Kalimantan\n\n=== STATISTIK WIKIDATA ===\n  Total artikel   : 2.340.000 (Bahasa Indonesia)\n  Total sukarelawan: 890.000 aktif\n  Bahasa tersedia : 330 bahasa\n  Gambar tersedia : 94 juta\n\n=== TOPIK POPULER ===\n  Sains & Teknologi | Sejarah | Geografi\n  Biologi | Matematika | Seni & Budaya\n\nBerkontribusi? Daftar gratis dan mulai menyunting!"
12,"wikidata.org/AI","Kecerdasan Buatan (Artificial Intelligence) - Wikidata\n\nKecerdasan buatan (KB) atau artificial intelligence (AI) adalah\nsimulasi kecerdasan manusia dalam mesin yang diprogram untuk berpikir\ndan belajar seperti manusia.\n\n=== CABANG UTAMA AI ===\n  Machine Learning | Deep Learning | NLP\n  Computer Vision  | Robotika      | Expert Systems\n\nReferensi: 847 sumber | Terakhir disunting: 2 jam lalu\nKategori: Ilmu Komputer | Teknologi | Sains"
13,"weathertoday.com","weathertoday.COM - Prakiraan Cuaca Paling Akurat\nData diperbarui setiap 30 menit dari 2.400 stasiun cuaca.\n\n=== CUACA HARI INI - JAKARTA ===\n  Pagi    (06-12): Berawan  | 28°C | Angin 15 km/j\n  Siang   (12-18): Hujan    | 31°C | Angin 22 km/j\n  Sore    (18-21): Gerimis  | 27°C | Angin 10 km/j\n  Malam   (21-06): Cerah    | 25°C | Angin 8 km/j\n  Kelembapan: 82% | UV Index: 7 (Tinggi) | AQI: 63 (Sedang)\n\n=== PRAKIRAAN 7 HARI ===\n  Senin  : Hujan Lebat  30°C / 24°C\n  Selasa : Berawan      31°C / 25°C\n  Rabu   : Cerah        33°C / 26°C\n  Kamis  : Cerah Berawan 32°C / 25°C\n  Jumat  : Hujan Ringan 29°C / 24°C\n\nKota lain: Bandung | Surabaya | Medan | Makassar | Bali"
14,"ZEN.com/kebijakan","Kebijakan Privasi ZEN\nTerakhir diperbarui: 1 Januari 2026\n\nZEN berkomitmen melindungi privasi penggunanya.\nKami tidak menjual data pribadi ke pihak ketiga.\n\n=== DATA YANG KAMI KUMPULKAN ===\n  1. Kueri pencarian (disimpan anonim, dihapus setelah 90 hari)\n  2. Preferensi bahasa dan wilayah\n  3. Data teknis perangkat (browser, OS) tanpa identitas\n\n=== HAK PENGGUNA ===\n  > Akses data: Minta laporan data kamu kapan saja\n  > Hapus data: Seluruh riwayat bisa dihapus permanen\n  > Opt-out   : Nonaktifkan personalisasi hasil pencarian\n\n=== COOKIE ===\n  Kami hanya menggunakan cookie esensial dan preferensi.\n  Tidak ada cookie iklan pihak ketiga.\n\nPertanyaan? Hubungi: privasi@zen.com"

